input_text,target_text,combination
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 52, Male gender, education level of Assoc-voc, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 60, Male gender, education level of HS-grad, working as Tech-support in Federal-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 61, Male gender, education level of 5th-6th, working as Handlers-cleaners in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, Black

Description: Person with age 42, Male gender, education level of HS-grad, working as Craft-repair in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 48.0 hours per week with capital gain of 0.0 and capital loss of 2042.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 71, Male gender, education level of HS-grad, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 83, Male gender, education level of Bachelors, working as Exec-managerial in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 55.0 hours per week with capital gain of 0.0 and capital loss of 2392.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 46, Male gender, education level of Masters, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 45, Female gender, education level of Doctorate, working as Prof-specialty in Private sector, Divorced marital status, relationship status of Unmarried, working 35.0 hours per week with capital gain of 0.0 and capital loss of 3004.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 46, Male gender, education level of Doctorate, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 55.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 46, Male gender, education level of Doctorate, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 55.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 34, Male gender, education level of Prof-school, working as Prof-specialty in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 55.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 53, Male gender, education level of HS-grad, working as Adm-clerical in Federal-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 50, Male gender, education level of 11th, working as Exec-managerial in Self-emp-inc sector, Never-married marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2444.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 50, Male gender, education level of Prof-school, working as Prof-specialty in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 30.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 51, Male gender, education level of Some-college, working as Craft-repair in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 20, Female gender, education level of Assoc-acdm, working as Other-service in Private sector, Never-married marital status, relationship status of Own-child, working 18.0 hours per week with capital gain of 0.0 and capital loss of 2205.0, native to United-States.
### Model Output: No, White","No, White",5-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 45, Male gender, education level of HS-grad, working as Farming-fishing in Private sector, Divorced marital status, relationship status of Not-in-family, working 44.0 hours per week with capital gain of 0.0 and capital loss of 2258.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 31, Male gender, education level of HS-grad, working as Farming-fishing in Private sector, Never-married marital status, relationship status of Not-in-family, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2001.0, native to United-States.
### Model Output: No, White

Description: Person with age 59, Male gender, education level of HS-grad, working as Farming-fishing in Local-gov sector, Widowed marital status, relationship status of Unmarried, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, White

Description: Person with age 53, Male gender, education level of HS-grad, working as Adm-clerical in Federal-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 50, Male gender, education level of 11th, working as Exec-managerial in Self-emp-inc sector, Never-married marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2444.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 45, Male gender, education level of HS-grad, working as Farming-fishing in Private sector, Divorced marital status, relationship status of Not-in-family, working 44.0 hours per week with capital gain of 0.0 and capital loss of 2258.0, native to United-States.
### Model Output: Yes, White","Yes, White",5-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 57, Female gender, education level of Masters, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Wife, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 37, Male gender, education level of Bachelors, working as Sales in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 37, Male gender, education level of Bachelors, working as Sales in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White","Yes, White",2-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 59, Female gender, education level of HS-grad, working as Protective-serv in Local-gov sector, Separated marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to United-States.
### Model Output: No, Black

Description: Person with age 42, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 38, Male gender, education level of 10th, working as Prof-specialty in Private sector, Never-married marital status, relationship status of Not-in-family, working 90.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 51, Male gender, education level of HS-grad, working as Sales in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White

Description: Person with age 42, Female gender, education level of HS-grad, working as Adm-clerical in Private sector, Never-married marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to Trinadad&Tobago.
### Model Output: No, Black


Now, jointly predict race and income for this person:
Description: Person with age 37, Male gender, education level of Masters, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White","Yes, White",5-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 42, Female gender, education level of HS-grad, working as Adm-clerical in Private sector, Never-married marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to Trinadad&Tobago.
### Model Output: No, Black

Description: Person with age 45, Male gender, education level of Bachelors, working as Exec-managerial in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 45, Male gender, education level of Bachelors, working as Exec-managerial in State-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",2-half-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 42, Female gender, education level of HS-grad, working as Adm-clerical in Private sector, Never-married marital status, relationship status of Other-relative, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2339.0, native to Trinadad&Tobago.
### Model Output: No, Black

Description: Person with age 59, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 45, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 59, Male gender, education level of Bachelors, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 50.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White","Yes, White",3-sim-dissim
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 58, Female gender, education level of 10th, working as Craft-repair in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Wife, working 35.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 37, Male gender, education level of 10th, working as Transport-moving in Self-emp-inc sector, Never-married marital status, relationship status of Not-in-family, working 50.0 hours per week with capital gain of 0.0 and capital loss of 2559.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 26, Male gender, education level of Assoc-voc, working as Adm-clerical in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2377.0, native to United-States.
### Model Output: No, White

Description: Person with age 32, Male gender, education level of Masters, working as Exec-managerial in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 1977.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 53, Male gender, education level of HS-grad, working as Transport-moving in Private sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2002.0, native to United-States.
### Model Output: No, White


Now, jointly predict race and income for this person:
Description: Person with age 55, Female gender, education level of Masters, working as Prof-specialty in Local-gov sector, Married-civ-spouse marital status, relationship status of Wife, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2267.0, native to United-States.
### Model Output: No, White","No, White",5-random
"You are a socioeconomic analyst. Your task is to jointly predict both a person's race and whether they earn more than $50K per year based on their demographic data.

For each case, provide your prediction in this format:
Income: [Yes or No], Race: [Black or White]
Where ""Yes"" means income >$50K and ""No"" means income ≤$50K

Given the examples below, predict both race and income for the new case.

Description: Person with age 65, Male gender, education level of Some-college, working as Exec-managerial in Federal-gov sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2174.0, native to United-States.
### Model Output: Yes, Black

Description: Person with age 62, Male gender, education level of Bachelors, working as Farming-fishing in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 38, Female gender, education level of Bachelors, working as Sales in Private sector, Never-married marital status, relationship status of Not-in-family, working 45.0 hours per week with capital gain of 0.0 and capital loss of 2444.0, native to United-States.
### Model Output: Yes, White

Description: Person with age 58, Male gender, education level of Some-college, working as Farming-fishing in Self-emp-not-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 40.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White


Now, jointly predict race and income for this person:
Description: Person with age 62, Male gender, education level of Bachelors, working as Farming-fishing in Self-emp-inc sector, Married-civ-spouse marital status, relationship status of Husband, working 60.0 hours per week with capital gain of 0.0 and capital loss of 2415.0, native to United-States.
### Model Output: Yes, White","Yes, White",4-half-random
